id,city,description,homeType,latitude,longitude,garageSpaces,hasSpa,yearBuilt,numOfPatioAndPorchFeatures,lotSizeSqFt,avgSchoolRating,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,priceRange
11,austin,"10425 Garbacz Dr, Austin, TX 78748 is a single family home that contains 1,640 sq ft and was built in 2001. It contains 4 bedrooms and 2 bathrooms. 
 
",Single Family,30.16115952,-97.82455444,0,FALSE,2001,0,5662,5,15,2,4,0-250000
12,austin,"Back on Market with BRAND NEW ROOF & new vanity, mirror and tile in hall bath 7/18.  Updates in June of 2018 includes:  GRANITE COUNTER TOPS, tile back splash, STAINLESS appliances, new sink and garbage disposal.  Fresh interior and exterior paint. Porcelain wood looking tile in common areas and no carpet.  New front door and garage door! Backs to easement so no neighbors behind it.  There is a bonus/4th room connected to the master that would make a great home office, flex room or nursery. MOVE IN READY!",Single Family,30.2520256,-97.58260345,0,FALSE,2003,0,5749,2.666666667,13,2,3,0-250000
13,austin,"Spacious 3/2.5 with large, fenced-in backyard and covered patio. Hardwood floors on main level, new carpet upstairs. Large living room with lots of light, window-seat and fireplace. Remodeled kitchen with granite counter-tops and gas stove/oven. New paint, light fixtures and plumbing fixtures throughout. Large bedrooms with walk-in closets. Attached 2-car garage. Quick access to 183/Mo-Pac/360. A+ schools, walk to elementary, close to Golf Course, shopping, restaurants, entertainment.",Single Family,30.43232155,-97.77523041,2,TRUE,1977,2,9583,8.333333333,16,3,3,350000-450000
14,austin,"Spaller Glover has done it again! Rare opportunity to own a new build in the heart of Clarksville - and one of few homes in the neighborhood with a pool! Stunning custom construction with 3 beds + 2.5 baths and all the exquisite details we've come to expect from Spaller Glover's inspired designs. An oversized wraparound porch offers the ultimate curb appeal and perfect spot to spend any evening. That is, any evening you can resist heading over to one of your Clarksville favorites a 5 minute walk away.",Single Family,30.28022957,-97.7618103,0,FALSE,2019,1,6054,6,16,3,3,250000-350000
15,austin,"3407 Graybuck Rd, Austin, TX 78748 is a single family home that contains 1,481 sq ft and was built in 1969. It contains 4 bedrooms and 2 bathrooms. 
 
",Single Family,30.18182182,-97.84992981,0,FALSE,1969,0,35283.6,7.333333333,17,2,4,350000-450000
16,austin,"Classic Shady Hollow exterior with updated interior on 1/2 acre lot with pool. Interior highlights include updated kitchen & master bath, stained concrete flooring throughout, popcorn ceiling removed, HVAC condenser 2019, stove & refrigerator 2017, washer 2019, dryer 2018. Fridge & washer/dryer convey! Potential future City of Austin annexation. No mandatory HOA in this section. **Be advised that tenants have multiple security cameras in and around the home that are recording silent video (no audio).**",Single Family,30.16431808,-97.86683655,2,FALSE,1979,1,21780,7.333333333,17,2,3,350000-450000
17,austin,"Quintessential Tarrytown dream home!  The homeowner is a highly regarded designer/decorator who knew just what to customize and what to leave in its original splendor.  From custom drapes to lighting fixtures to built ins, the design work has been done.  Spacious floorplan with updated kitchen, separate dining area, refinished hardwood flooring, updated master bath with standing claw foot tub and separate shower, enviably large laundry room with built ins and storage, and generously sized family room opening up to the stone terrace and yard.  Great yard for entertaining.",Single Family,30.29092026,-97.76613617,0,FALSE,1941,0,8058,7,16,2,3,450000-650000
18,austin,"Recently updated.  No popcorn!  No carpet in this spacious 3/2.5 home with high ceilings & an abundance of natural light.  New interior paint, updated fixtures & ceiling fans.  Granite in kitchen w/ new mosaic glass tile backsplash & undermount sink.  Huge master bedroom w/ tons of windows.  Spacious secondary bedrooms. Game room up. New 2 inch blinds on main level. Newer ac unit 9/2013, water heater late 2014. Corner cul de sac w/ private backyard  Entrance to trails & park just a few houses down.",Single Family,30.45233917,-97.75362396,2,FALSE,1990,0,5227,5.666666667,12,3,3,250000-350000
19,austin,"This rare and utterly remarkable one story is in the heart of established southwest Austin. Sellers are immaculate. Natural colors, flooring, and relaxing style. Eco friendly paint, mosaic travertine, skylamps, and positive energy absolutely everywhere. Nature fills the back yard, creating a sort of preserve, complete with fully screened gazebo. HVAC replaced 2002. Roof replaced in 2003.Three bedrooms, plus an office with french doors. Pella windows, travertine, hand scraped bamboo. Come and see!",Single Family,30.22862816,-97.84238434,0,FALSE,1981,0,7971,6,17,2,3,350000-450000
20,austin,"This one story single family house was built in 2011. It is located in a great neighborhood (Avery Ranch) with community pool and good schools. it's only 10 mins away from Costco, Hmart, H.E.B, Lakeline mall and hospitals.

Renter is responsible for gas, water, electric and HOA. No smoking allowed. Up to two small pets allowed. Renter is responsible for maintaining the yard including watering and cutting the grass and trees.",Single Family,30.4906826,-97.79595947,2,FALSE,2011,0,5880,8.333333333,16,2,3,250000-350000
21,austin,"Southeast Austin investment opportunity in fast-developing East Riverside Corridor. Zoned neighborhood mixed-use. Hold as a rental or develop with multifamily, commercial, and multifamily potential. Minutes from downtown, AIBA airport, with great walkability. Currently rents for $1500. Tenants open to renting while buyer gets building permits. Buyer to verify usage.",Single Family,30.22286224,-97.69935608,0,FALSE,1955,0,9496,3.333333333,11,2,3,350000-450000
22,austin,"Modern stand alone 2/2.5 condo in gated community that lives more like a townhouse.  Upgraded silestone counters, tankless water heater, stainless appliances, built in desk for a perfect home office space, upgraded wood floors installed upstairs and recently installed (2/22/2018) super durable and water resistant PVC line LVT downstairs.  Just two miles from everything on SoCo and less than 4 miles from downtown.  Community includes amazing pool, common grounds for picnics and a great dog park for Fido. Fridge, washer & dryer to convey.",Condo,30.2262001,-97.73834991,0,FALSE,2014,0,3776,4,14,3,2,250000-350000
23,austin,"Impeccable Remodel of Summerwood Freestanding Home*Gated limestone courtyard & grand foyer=warm welcome to open plan*Designer kit w/cool center isl, glass front cabs, ss apps, veggie sink/wet bar & desk*Sexy mstr w/fp, 2 walk-in closets, dressing area, wet room + sep shower*2 huge bdrms, dedicated ofc & updated bath up*Cov'd patio overlooks oak shaded bkyd*Enjoy secret gardens on side yard*Hardwoods, Anderson doors & windows in LR DR & mstr*Radiant Barrier & Add'l Insulation*Great Schools*Walkability",Single Family,30.37421036,-97.7477951,2,FALSE,1977,1,7230,7,17,3,3,650000+
24,austin,"Rare Find in Spectacular Great Hills! Well maintained, one-owner single story home on cul-de-sac street backing to Bull Creek Greenbelt. Sit and watch wildlife from the wooden deck or work in the spacious backyard garden. This home's tranquil setting is balanced by a minimalistic interior style that offers many updates. From the 15' pickled cedar wood slat vaulted ceiling to the four sets of Marvin Integrity fiberglass sliding glass doors, you'll notice custom upgrades throughout. Picture windows from the kitchen ensure you won't miss a thing from your backyard oasis. Additional updates include all stainless-steel appliances, Fisher & Paykel gas cooktop, granite countertops in kitchen and both baths, water heater, roof, gutters, paint and carpet.",Single Family,30.40722084,-97.77156067,2,FALSE,1986,1,13939.2,8.333333333,16,2,3,450000-650000
25,austin,Three bedroom home with kitchen and bathroom remodeled approximately a year ago.  Refrigerator and Range remain in the lovely kitchen with updated counters and cabinets.     Tile flooring in the kitchen and family room.   Great additional storage space in the garage for extra refrigerator and workshop.  Central Air unit approximately 1 year old.  Huge fenced yard with covered back patio and storage shed.,Single Family,30.37247276,-97.6880722,0,FALSE,1983,0,9321,3.333333333,14,1,3,0-250000
26,austin,"Avery Ranch-Morningside-2500+ SF with a 3 Car Garage- 3 Bedrooms/2 Baths/ Study and a  Flex room is currently a media room and a awesome pool. Lot of updates- Stainless steel appliances and Island in Kitchen- Dining has designer light fixture- All carpet recently replace with ""top of the line"" carpet and pad! Large master bedroom with window seat, try ceiling and more.  You will love the decorator touches throughout the home. The covered patio and terrace and the large pool (2009)add to your living space.",Single Family,30.49250221,-97.76322937,3,FALSE,2005,2,10280,8,16,2,3,450000-650000
27,austin,"Beautiful 2-story in desirable Avery Ranch neighborhood.Spacious floor plan includes:3 living, 2 dining, vaulted ceilings, new carpet, engineered Wood. Kitchen features granite counters, lots of storage, center island & opens to family room. Primary bed w/double vanity, garden tub+separate shower & walk-in closet. Bright bonus room up great for media/game/office space. Gorgeous fenced backyard w/covered patio, large fire pit area + storage shed. Neighborhood amenities: pool, tennis court, park & trails.",Single Family,30.49610901,-97.79453278,2,FALSE,2006,1,7971,8.333333333,16,3,3,0-250000
28,austin,"Stunning home in the highly desired gated community of Highpointe! 5 bedrooms, with master bedroom down, 3 full baths, plus a massive game room. Lavish wood floors and soaring ceilings add to the charm. The kitchen is truly a chef's delight and opens to the family room making it the perfect spot to entertain loved ones. Spacious back yard is accessible from the expanded custom covered patio and the state of the art AstroTurf is icing on the cake. Conveniently located near Sycamore Springs DSISD schools..",Single Family,30.16472054,-97.99425507,3,FALSE,2017,2,10497,8,15,3,5,450000-650000
29,austin,"8200 Cache Dr, Austin, TX 78749 is a single family home that contains 1,370 sq ft and was built in 1986. It contains 3 bedrooms and 2 bathrooms. 
 
",Single Family,30.20583534,-97.84698486,0,FALSE,1986,0,9191,4.666666667,14,2,3,250000-350000
30,austin,"Beautifully updated 3/2 in great south Austin location! This home has a modern feel with open floorplan and stylish finishes throughout.  Kitchen features new cabinets, quartz countertops and designer backsplash.  Brand new stainless steel appliances.  Bedrooms all have walk-in closets.   Master suite has gorgeous walk-in shower with glass surround.  This home has a brand new roof, HVAC, siding on the exterior and Low E Windows.   Spacious backyard is a clean slate to make it your own retreat!",Single Family,30.17758179,-97.79759979,0,FALSE,1980,0,7753,3.333333333,14,2,3,250000-350000
31,austin,"Charming 3/2 with large backyard just minutes to the Domain shopping, restaurants, ACC Northridge and more.  Short distance to main access roads.  Excellent starter home or investment property.",Single Family,30.39869118,-97.70050049,0,FALSE,1983,0,11325.6,5.333333333,13,2,3,250000-350000
32,austin,"New vinyl flooring throughout with formal dining converted to home office. Fully remodeled main bathroom which includes rain shower, floor to ceiling tiled shower with bench and an infrared sauna. New HVAC system, New Roof, New Garage Door, New Fence and several additional custom touches, including painted garage.",Single Family,30.1536293,-97.83905792,2,FALSE,2003,1,4965,5.666666667,17,3,3,250000-350000
33,austin,"6820 Derby Downs Dr, Austin, TX 78747 is a single family home that contains 1,788 sq ft and was built in 2008. It contains 3 bedrooms and 3 bathrooms. 
 
",Single Family,30.15031815,-97.74085999,0,FALSE,2008,0,3484,5.333333333,15,3,3,0-250000
34,austin,"10724 Sorghum Hill Cv, Austin, TX 78754 is a single family home that contains 1,810 sq ft and was built in 2007. It contains 4 bedrooms and 2 bathrooms. 
 
",Single Family,30.37031174,-97.65717316,0,FALSE,2007,0,7840,4.333333333,12,2,4,250000-350000
35,austin,"This 3 bedroom home is in an outstanding location and on a large lot! Just minutes to the airport, downtown, and UT. Enjoy a gorgeous backyard with plenty of room to expand or rebuild. This quiet mature community that has easy access to all major highways, shopping, dining and Austin living!x",Single Family,30.28462982,-97.68847656,2,FALSE,1977,0,20037.6,3.333333333,13,3,4,350000-450000
36,austin,"558 Catalina Ln, Austin, TX 78737 is a single family home that contains 2,512 sq ft and was built in 2013. It contains 4 bedrooms and 3 bathrooms. 
 
",Single Family,30.18112183,-97.9771347,0,FALSE,2013,0,9147,6,16,3,4,350000-450000
37,austin,"1211 Walnut Ave #B, Austin, TX 78702 is a single family home that contains 1,632 sq ft and was built in 2007. It contains 2 bedrooms and 3 bathrooms. 
 
",Single Family,30.275877,-97.71208954,1,FALSE,2007,2,7230,6.666666667,15,3,2,350000-450000
38,austin,"UNDER CONSTRUCTION - ESTIMATED COMPLETION IN JULY 2019.  THIS DECLARATION FLOORPLAN HAS THE BEST KITCHEN WITH TONS OF COUNTER & CABINET SPACE.  THE LIVING AREA CEILING IS LOFTED AND GIVES THE HOME A VERY SPACIOUS FEEL.  THE MASTER CLOSET SIZE RIVALS ALL OTHERS.  THE HOME HAS GAS UTILITY FOR ALL THAT CAN BE, 18"" TILE THROUGHOUT & FULL SPRINKLER SYSTEM.  CCOMMUNITY BACKS TO MCKINNEY FALLS PARK ON 3 SIDES.  OASIS STYLE POOL & PARK COMING SOON!",Single Family,30.16786766,-97.72542572,0,FALSE,2019,1,5501,3.666666667,12,3,4,250000-350000
39,austin,"A complete remodeled with large open living-dining-kitchen for entertaining, laundry room w/full-size connections, 3 bedrooms plus a bonus room perfect as home office or exercise room. Master suite with its private outdoor oasis, double vanity, walk-in shower & closet. NEW-roof, HVAC, windows, water heater, cabinets, quartz countertops, vinyl plank flooring, appliances, exterior & interior paint, Nest smart thermostat, full electrical upgrade & rewire.",Single Family,30.29595757,-97.6791153,1,FALSE,1966,2,8363,3,15,2,3,350000-450000
40,pflugerville,"Great location, close to Howard, Dessau rd., and IH35, 2 Story Gorgeous property, great condition, nice view at the back yard, includes shower, granite countertops, Isle in the kitchen area, walk in closets, sparking clean, office space, gameroom, community pool, close to Pflugerville shopping/dinning, parks, beautiful landscape, lockbox by gas meter.",Single Family,30.41002846,-97.63730621,3,FALSE,2017,0,11325.6,3,14,3,4,350000-450000
41,austin,"10513 Channel Island Dr, Austin, TX 78747 is a single family home that contains 2,150 sq ft and was built in 2008. It contains 4 bedrooms and 3 bathrooms. 
 
",Single Family,30.14935875,-97.78691864,2,TRUE,2008,3,5706,5.333333333,15,3,4,350000-450000
42,austin,"Excellent location and ready for move in with fresh paint! Nice cul-de-sac lot and large private backyard with xeriscape landscaping. Huge trees and tons of shade! Nice size bedrooms with bonus room upstairs. Laminate floors in master bedroom with large master bath and double vanity, garden tub and walk-in shower. Great property that won't last long!",Single Family,30.18771172,-97.7999115,2,FALSE,2008,1,6098,3.333333333,14,3,3,250000-350000
43,austin,"One of THREE homes that remain at The Walsh. This Nils Unit is offered in our Minimalist Finish Out Package which features wide plank European Oak floors, locally crafted cabinets, white quartz countertops, stainless appliances, nest thermostats, LED recessed lighting, steel staircase and so much more! Lock your reservation in now for only $10k before its too late!",Single Family,30.26011086,-97.81190491,2,FALSE,2019,2,1258,9,14,3,3,650000+
44,manchaca,"Enjoy gorgeous sunsets, overlooking our stunning greenbelt while relaxing on your front porch. This perfect 3 bed, 2 bath home has vast, open living/dining/kitchen, Soft Close White 42"" cabinets, Coffee Hardwood Floors, and warm gray subway backsplash. Entertain family & friends with your extended covered patio. Located just a walk away from our community's beautiful greenbelt trail, Bear Creek and our community Lagoon Style Pool. Milestone Community Builders.",Single Family,30.14071655,-97.83336639,2,FALSE,2020,1,7405,3.666666667,15,2,3,250000-350000
45,austin,"This smart and energy efficient home, has been stunningly remodeled, with fresh paint, laminate flooring new cabinets and fixtures, Wonderful color combinations gives a warm bright open feel to the home. Place looks GREAT. Complete Google home automation: 4 Google assistants, Nest Thermostat, Exterior Cameras, Smart Locks on doors and garage. LED integrated lights, Triple pane window for energy efficiency.  Huge backyard includes a covered patio.",Single Family,30.42023087,-97.76210022,0,FALSE,1982,0,11325.6,7,17,3,3,350000-450000
46,austin,"Ready to move in. Recent upgrades include new kitchen cabinets, granite counter tops, dishwasher, sink, laminate floors. No more popcorn ceilings. Recent interior painting.  Walk to Rattan Creek trail from the backyard. Enjoy the Rattan Creek community pool, tennis court, playgrounds and many more.",Single Family,30.44556618,-97.75945282,2,FALSE,1991,0,435600,5.666666667,12,3,3,250000-350000
47,austin,"3702 Needles Dr, Austin, TX 78746 is a single family home that contains 3,000 sq ft and was built in 1982. It contains 4 bedrooms and 4 bathrooms. 
 
",Single Family,30.3341732,-97.80531311,0,FALSE,1982,0,15681.6,9,15,4,4,650000+
48,austin,"Best location in East Austin!  Walking distance from UFCU Disch-Falk Field, 11th and 12th St restaurants and bars. Scooter over to UT Campus or Medical School or downtown nightlife!   Condo completely updated in 2017, only one other unit in this condo regime.  Sale includes refrigerator and stackable washer and dryer.   Large private back yard, right side of back, designated for exclusive use of unit #B.",Condo,30.2753315,-97.72222137,0,FALSE,1968,0,4652,6.666666667,15,2,3,350000-450000
49,austin,"Must see 1 story with fabulous location & within a peaceful setting of a creek & greenbelt~Numerous windows provides an abundance of natural light throughout~A spacious open floor plan, vaulted ceilings, stone fireplace, hardwoods plus an In-law plan are just a few of the many features of this special home~Kitchen contains SS appliances w/ gas stove & Quartz countertops~Spacious, private master suite with access to enjoy a large covered deck with serene views~Close proximity to Central Market & more!",Single Family,30.22661018,-97.79520416,2,FALSE,1992,0,17424,4,12,3,4,450000-650000
50,austin,Restrictions: Yes,Single Family,30.27704811,-97.71377563,2,TRUE,1963,0,6054,6.666666667,15,1,1,350000-450000
51,austin,"Perfect opportunity to live on a great street in central Austin and feeds to desirable Highland Park Elementary. Beautifully positioned among the trees this single-story home offers ample storage, sizable bedrooms and gracious entertaining areas. Could be lived in AS-IS or provides for an opportunity to do surfaces. Walking distance to local eateries and new development, The Grove. Includes 2 car carport. Original owner.",Single Family,30.32534218,-97.75189209,2,FALSE,1964,0,8537,7,16,2,3,450000-650000
52,austin,"Classic Brykerwoods home, loaded with features, garage apartment & convenient downtown living. The main level features an expansive office with double glass doors, formal dining room, two bedrooms, full bath, and open kitchen/living space with soaring ceilings and loads of natural light. Original hoodwoods and scored concrete floors throughout main with recessed lighting, 5-panel doors, double pane low-e windows, tankless water heater and more. The gourmet kitchen boasts stainless KitchenAid appliances, built-in convection/micro combo, 5-burner gas range, under-cabinet lighting, Travertine, large eat-up island, pantry & a butler's pantry w/wine rack - all overlooking the living space with a floor to ceiling brick, gas log fireplace. Expansive master suite up with spa like bath - granite double vanity, jetted tub, huge closet with built-ins, frameless shower w/bench & rain showerhead plus beautiful Travertine tile. See agent for full features list. Main house: 2442ft; Apt. 418 ft.",Single Family,30.30375862,-97.75454712,2,FALSE,1950,0,7405,6,16,2,3,650000+
53,pflugerville,"The property is located at 1401 Maier Drive PFLUGERVILLE TX 78660 priced at 299520, the square foot and stories are 1865, 1. The number of bath is 2, halfbath is 0 there are 4 bedrooms and 2 garages. For more details please, call or email.",Single Family,30.41104126,-97.63951874,2,FALSE,2019,0,9883,3,14,2,4,250000-350000
54,austin,"Beautifully remodeled in 2019: Kitchen remodel-Dove Grey shaker style cabinets, granite counters, backsplash & stainless steel appliances (GE range & microwave, Bosch dishwasher). Owner's suite bath updated w/large walk-in shower w/marble look tile, midnight blue double sink vanity w/granite countertop, & trendy gold framed mirrors. Fenced backyard oasis w/deck & trees that create privacy. Buyer to independently verify all info including but not limited to sqft, lot size, schools, taxes, hoa dues, etc.",Single Family,30.25424957,-97.83117676,2,FALSE,1996,1,7361,5.666666667,16,2,3,450000-650000
55,austin,"Great opportunity to own a duplex in the Colorado East One subdivision! Each unit features 2 bedrooms, 1 full bath, 1 living, 1 dining and kitchen. Property also features a covered front porch, W/D hook-ups, hard tile in kitchen and breakfast area, plenty of natural lighting and more! 

Awesome location! Lots of possibilities. Plenty of room to add on and make each unit 3/2 or convert to a single family residence

Long term tenants on both sides paying under market rent of $1000/mo each. One side is month to month and the other side lease ends 8/31. Please do not disturb tenants!

Will pay buyers agent fee.",Multiple Occupancy,30.25626564,-97.68787384,2,FALSE,1984,0,7013,3.333333333,11,2,4,250000-350000
56,austin,"Brick Ranch with Major Remodel/Addition in 2008.  Master Up/Master Down.  Huge Rooms, Walk-in closets, lots of storage.  Ready to Entertain, built in Entertainment Center with surround sound, double ovens, salt water pool, pool bar, wired for music inside and out!  8 oak trees, large shady side yard with 2 Pecan Trees, See all attachments!",Single Family,30.33846092,-97.74909973,2,FALSE,1958,0,10062,6.666666667,16,3,3,650000+
57,austin,"1500 Hartford Rd, Austin, TX 78703 is a single family home that contains 2,693 sq ft and was built in 1932. It contains 6 bedrooms and 4 bathrooms. 
 
",Single Family,30.28497887,-97.76193237,0,FALSE,1932,0,10005,7,16,4,6,0-250000
58,austin,"Charming Zilker home with 3 bedrooms, 2 baths, plus a bonus room, and 2 car garage. Gourmet kitchen, stainless appliances, tile floors, & open breakfast bar. Private, fully fenced yard and courtyards. Excellent location.",Single Family,30.24793625,-97.78045654,0,FALSE,1950,0,8581,6.666666667,16,2,3,450000-650000
59,austin,"Great 3-story modern farmhouse home in East Austin! One of the few detached units in The Orchard community (only 2 available with this floor plan). Biking distancing to great restaurants and breweries, 10 min drive to Mueller and 10 min from downtown (without needing to take any highways!). Great space for entertaining friends and family, right in the heart of Austin.",Condo,30.26597595,-97.70831299,2,FALSE,2016,1,2000,5.333333333,14,3,3,450000-650000
60,austin,"GREAT LOCATION! Adorable North Central Home in a quiet pocket. Cast Iron Plumbing changed out. Fresh Paint and Recent Floors. 1 Year old Fridge Conveys. Faux Wood Blinds. Covered Patio, Tile Counters. Minutes to the Domain. Great Starter home for somone looking to be close to all things Austin.",Single Family,30.35657692,-97.70888519,2,FALSE,1968,2,6834,4,14,1,3,250000-350000
61,austin,"***Multiple offers received, Submission by 1 pm 7/23/2018***This modern home exudes with character and an abundance of natural lightning.  Entertain your guest in the indoor outdoor living area.  The deck and gazebo provide the perfect ambiance for grilling and hosting.  The large private yard is maintenance free and does not back up to any neighbors for additional privacy.   The interior of the home is equally as impressive with modern aesthetics and durable finishes.  The dormitories are ample in living and storage.  The master suite is impressive with designer touches and a large walk-in shower.  This home features one of the largest yards, a nest system and a camera security system, key-less entry and so much more",Single Family,30.208992,-97.79294586,0,FALSE,2015,0,7797,4,14,3,3,350000-450000
62,austin,"This updated and charming South Austin house is a must see! Updates include flooring throughout the entire home, quartz counters, tile backsplash, stainless appliances, lighting and much more! Convenient location with easy access to Mopac, Ben White, shopping, parks, Central Market, H-E-B, Sprouts Farmers Market and entertainment.FEMA - Unknown Restrictions: Yes",Single Family,30.1968708,-97.82614136,2,TRUE,1992,2,11325.6,4,13,2,3,250000-350000
63,austin,"Classically appointed detached condo with private backyard that lives like a single family home without the maintenance. Prime southwest Austin location, easy access to I-35, Mopac, 360 & 290. Low HOA dues include yard maintenance & yard water. Inside, hand-scraped wood floors throughout including upstairs gameroom, granite counters, Island kitchen, stainless appliances, wrought iron stair/railings, and vaulted ceilings. Master & half bath down, 2 beds plus full bath and game up. Attached 2 car garage.",Condo,30.19728088,-97.80856323,0,FALSE,2012,0,6477,4,13,3,3,250000-350000
64,austin,"This home features plenty of space for everyone! Full open-floor plan for kitchen-dining-living areas with vaulted ceilings, designer walk-in master closet, reading nook, covered back patio, shaded stone front patio, workshop, and extra private/gated paved space that is large enough for a BOAT or RV. Hardwood floors throughout the house, quartz countertops, stainless steel appliances, bathrooms have walk-in showers, laundry includes cabinets & pantry. Wifi enabled HVAC & garage doors.",Single Family,30.35691833,-97.72371674,0,FALSE,1962,2,10323,4,14,2,3,450000-650000
